30 0.02666667  0.02666667 0.1133333 0.1133333 0.03878519 0.1007704 0.03878519 0.1007704   0.1395556 0.1395556
31 0.03333333  0.03333333 0.1333333 0.1333333 0.03873743 0.1006174 0.03873743 0.1006174   0.1393548 0.1393548
32 0.02666667  0.02666667 0.1133333 0.1133333 0.03937500 0.1006250 0.03937500 0.1006250   0.1400000 0.1400000
33 0.03333333  0.03333333 0.1333333 0.1333333 0.03922865 0.1013774 0.03922865 0.1013774   0.1406061 0.1406061
34 0.03333333  0.03333333 0.1333333 0.1333333 0.03877739 0.1016148 0.03877739 0.1016148   0.1403922 0.1403922
35 0.03333333  0.03333333 0.1333333 0.1333333 0.04136054 0.1003537 0.04136054 0.1003537   0.1417143 0.1417143
36 0.03333333  0.03333333 0.1333333 0.1333333 0.04088477 0.1005967 0.04088477 0.1005967   0.1414815 0.1414815
37 0.03333333  0.03333333 0.1333333 0.1333333 0.04071098 0.1005503 0.04071098 0.1005503   0.1412613 0.1412613
38 0.02666667  0.02666667 0.1133333 0.1133333 0.04048015 0.1012742 0.04048015 0.1012742   0.1417544 0.1417544
39 0.03333333  0.03333333 0.1333333 0.1333333 0.04007890 0.1014596 0.04007890 0.1014596   0.1415385 0.1415385
40 0.02666667  0.02666667 0.1133333 0.1133333 0.03990000 0.1014333 0.03990000 0.1014333   0.1413333 0.1413333
41 0.02666667  0.02666667 0.1066667 0.1066667 0.03953202 0.1009558 0.03953202 0.1009558   0.1404878 0.1404878
42 0.02666667  0.02666667 0.1133333 0.1133333 0.03916856 0.1011489 0.03916856 0.1011489   0.1403175 0.1403175
43 0.03333333  0.03333333 0.1333333 0.1333333 0.03879575 0.1013593 0.03879575 0.1013593   0.1401550 0.1401550
44 0.03333333  0.03333333 0.1333333 0.1333333 0.03841598 0.1015840 0.03841598 0.1015840   0.1400000 0.1400000
45 0.03333333  0.03333333 0.1333333 0.1333333 0.03811029 0.1011490 0.03811029 0.1011490   0.1392593 0.1392593
46 0.03333333  0.03333333 0.1333333 0.1333333 0.03826087 0.1008696 0.03826087 0.1008696   0.1391304 0.1391304
47 0.03333333  0.03333333 0.1333333 0.1333333 0.03843670 0.1011378 0.03843670 0.1011378   0.1395745 0.1395745
48 0.03333333  0.03333333 0.1333333 0.1333333 0.03824074 0.1006481 0.03824074 0.1006481   0.1388889 0.1388889
49 0.03333333  0.03333333 0.1333333 0.1333333 0.03860614 0.1001694 0.03860614 0.1001694   0.1387755 0.1387755
50 0.03333333  0.03333333 0.1333333 0.1333333 0.03846400 0.1012693 0.03846400 0.1012693   0.1397333 0.1397333
